time_s,u_mps,v_mps,w_mps,p_radps,q_radps,r_radps,q0,q1,q2,q3,north_m,east_m,altitude_m,canard_rad,elevon_left_rad,elevon_right_rad,rudder_rad,throttle
3.5,199.996853664,0.81532811712,0.107277472443,0.00195006101074,-0.000158607659972,0.000208819140227,0.999994524831,-0.00267798359358,0.000348297622872,-0.00191243311276,699.998001282,2.71566580143,4999.99267675,0,0.00397611511135,0.0121878150827,0.00737708514025,0.142890356396
3.55,199.996952948,0.794598278637,0.108093108057,0.001986853842,-0.000145652210674,0.000227334595912,0.999994667173,-0.00262876641678,0.000344416251008,-0.0019069846368,709.997928538,2.71772799437,4999.99433154,0,0.00410013511349,0.012060521297,0.00719224201187,0.142889256042
3.6,199.997052801,0.774142588011,0.108957517768,0.00201661456645,-0.000133217089501,0.000245415881075,0.999994809951,-0.00257871805661,0.00034085193344,-0.00190107979882,719.99785687,2.71887434089,4999.99586269,0,0.00422015964743,0.0119370101871,0.0070097599212,0.142888136589
3.65,199.997153003,0.753960786231,0.109861541497,0.00204007599839,-0.000121316910117,0.000263038454161,0.999994952598,-0.0025280050265,0.00033759173533,-0.0018947296651,729.997786377,2.71912753417,4999.99727446,0,0.00433646966174,0.0118170388716,0.00682962278455,0.142887000624
3.7,199.997253341,0.734052675953,0.110796680897,0.00205789511833,-0.000109961672557,0.000280184767758,0.999995094621,-0.00247677648545,0.000334622380262,-0.00188794583323,739.997717144,2.71851002837,4999.9985713,0,0.00444931683445,0.0117003911043,0.00665181904042,0.142885850579
3.75,199.997353613,0.714418072435,0.111755087391,0.00207066122467,-9.91572125229e-05,0.000296843127725,0.999995235593,-0.00242516602971,0.000331930363987,-0.00188074027123,749.997649251,2.71704403179,4999.99975779,0,0.00455892691971,0.0115868739576,0.00647634086599,0.142884688735
3.8,199.997453624,0.69505676456,0.112729546431,0.00207890317944,-8.89056250772e-05,0.000313006671949,0.999995375144,-0.00237329329234,0.000329502056777,-0.00187312518371,759.997582766,2.71475150078,5000.00083864,0,0.00466550269377,0.0114763149248,0.00630318341831,0.142883517237
3.85,199.997553191,0.675968484716,0.113713458658,0.00208309584869,-7.92056628735e-05,0.000328672469199,0.99999551296,-0.00232126537183,0.000327323795082,-0.0018651129022,769.997517752,2.71165413432,5000.0018186,0,0.00476922654608,0.0113685593929,0.00613234412291,0.142882338097
3.9,199.99765214,0.657152886335,0.114700818535,0.00208366582786,-7.00531094788e-05,0.000343840734776,0.999995648772,-0.00226917810894,0.00032538196318,-0.00185671579651,779.997454263,2.70777336922,5000.00270248,0,0.00487026275723,0.0112634684393,0.00596382202476,0.142881153207
3.95,199.997750307,0.638609527947,0.115686191003,0.00208099653302,-6.14411283856e-05,0.000358514156931,0.999995782355,-0.00221711722845,0.000323663065457,-0.00184794620437,789.997392343,2.70313037591,5000.0034951,0,0.0049687595013,0.0111609169153,0.00579761721027,0.142879964341
4,199.997847541,0.620337862676,0.116664686603,0.00207543273005,-5.33605882959e-05,0.0003726973261,0.99999591352,-0.00216515936079,0.000322153789987,-0.00183881637658,799.997332034,2.69774605484,5000.00420126,0,0.00506485060671,0.0110607917779,0.00563373030437,0.142878773164
4.05,199.997943699,0.602337232198,0.117631935489,0.00206728456599,-4.58003653665e-05,0.000386396257882,0.99999604211,-0.00211337295691,0.000320841064,-0.00182933843535,809.997273367,2.69164103338,5000.00482573,0,0.0051586571057,0.01096299064,0.00547216204288,0.142877581239
4.1,199.998038651,0.584606864293,0.118584060674,0.00205683115959,-3.87476234709e-05,0.000399618000094,0.999996168001,-0.00206181910788,0.000319712101853,-0.00181952434345,819.997216368,2.68483566313,5000.00537321,0,0.00525028859955,0.0108674205082,0.00531291291755,0.142876390027
4.15,199.998132275,0.567145873222,0.119517650842,0.0020443238014,-3.21880733039e-05,0.000412370314066,0.999996291092,-0.00201055227984,0.000318754446069,-0.00180938588224,829.997161058,2.67735001784,5000.00584835,0,0.00533984446298,0.0107739966851,0.00515598288938,0.142875200899
4.2,199.998224461,0.549953262252,0.120429732974,0.00202998880836,-2.61062110078e-05,0.000424661420585,0.999996411305,-0.00195962097324,0.000317956001969,-0.00179893463693,839.997107452,2.66920389157,5000.00625566,0,0.00542741490868,0.0106826418128,0.00500137116443,0.142874015134
4.25,199.99831511,0.533027927771,0.121317745043,0.00201403007207,-2.04855375294e-05,0.000436499801306,0.999996528584,-0.00190906831475,0.000317305066447,-0.0017881819874,849.997055557,2.66041679739,5000.0065996,0,0.00551308193021,0.010593285039,0.00484907602551,0.142872833926
4.3,199.99840413,0.516368664505,0.122179508961,0.00199663133573,-1.53087593844e-05,0.000447894047103,0.999996642889,-0.00185893258887,0.000316790351349,-0.00177713910347,859.99700538,2.65100796635,5000.00688448,0,0.00559692013876,0.0105058612885,0.00469909471304,0.142871658391
4.35,199.998491441,0.499974171453,0.12301320397,0.00197795823041,-1.05579718491e-05,0.00045885274555,0.999996754197,-0.00180924771567,0.000316401001943,-0.00176581694342,869.996956919,2.64099634677,5000.00711447,0,0.00567899750797,0.0104203106256,0.00455142334801,0.142870489563
4.4,199.998576972,0.483843058214,0.123817340599,0.00195816009764,-6.21482556462e-06,0.000469384400519,0.999996862495,-0.00176004368045,0.000316126610912,-0.00175422625493,879.996910171,2.63040060386,5000.00729365,0,0.00575937603813,0.010336577696,0.00440605689069,0.142869328404
4.45,199.99866066,0.467973851465,0.12459073532,0.00193737162225,-2.2606772806e-06,0.000479497377688,0.999996967787,-0.00171134692018,0.000315957228295,-0.0017423775777,889.996865129,2.61923911961,5000.0074259,0,0.00583811235017,0.0102546112354,0.00426298912848,0.142868175805
4.5,199.99874245,0.452365001386,0.125332486005,0.00191571429625,1.32327425002e-06,0.000489199870565,0.999997070083,-0.00166318067126,0.000315883367759,-0.0017302812472,899.996821779,2.60752999291,5000.00751499,0,0.00591525821827,0.0101743636376,0.00412221268763,0.14286703259
4.55,199.998822297,0.437014887894,0.126041948251,0.00189329773247,4.55586630271e-06,0.000498499882387,0.999997169404,-0.00161556528271,0.000315896009585,-0.00171794739901,909.996780108,2.59529103992,5000.00756453,0,0.00599086104839,0.0100957905733,0.00398371906326,0.142865899517
4.6,199.998900163,0.42192182659,0.126718712651,0.0018702208441,7.45586344694e-06,0.00050740521998,0.999997265777,-0.00156851849812,0.000315986600706,-0.00170538597356,919.9967401,2.58253979462,5000.00757795,0,0.00606496430921,0.0100188506521,0.00384749866347,0.14286477728
4.65,199.998976016,0.407084074334,0.127362583043,0.00184657290449,1.00418610803e-05,0.000515923496311,0.999997359236,-0.00152205570971,0.000316147052121,-0.0016926067208,929.996701732,2.56929350953,5000.00755856,0,0.00613760792102,0.0099435051241,0.00371354086349,0.142863666517
4.7,199.999049833,0.392499834433,0.127973555783,0.00182243450008,1.23322005507e-05,0.000524062139071,0.999997449823,-0.00147619018722,0.000316369734,-0.00167961920482,939.996664985,2.5555691567,5000.00750947,0,0.00620882860729,0.00986971761371,0.00358183406661,0.142862567807
4.75,199.999121597,0.378167261401,0.128551800066,0.00179787838753,1.43448949141e-05,0.000531828403132,0.99999753758,-0.00143093328422,0.000316647468753,-0.00166643280816,949.996629833,2.5413834287,5000.00743367,0,0.00627866021301,0.00979745388331,0.00345236576898,0.142861481675
4.8,199.999191297,0.364084465299,0.129097639292,0.00177297026511,1.60975645799e-05,0.000539229385198,0.999997622556,-0.00138629462408,0.000316973522326,-0.00165305673587,959.996596251,2.52675273991,5000.00733395,0,0.00634713399308,0.00972668162226,0.00332512262628,0.142860408595
4.85,199.999258927,0.350249515681,0.129611533496,0.00174776946709,1.76073823316e-05,0.000546272039348,0.999997704804,-0.00134228226764,0.000317341593977,-0.00163950001903,969.996564213,2.51169322779,5000.00721299,0,0.00641427887411,0.0096573702585,0.00320009052024,0.142859348988
4.9,199.999324488,0.336660445136,0.130094062833,0.00172232958912,1.88910267629e-05,0.000552963192496,0.999997784376,-0.00129890286439,0.000317745804745,-0.00162577151811,979.996533688,2.4962207544,5000.00707328,0,0.00648012169193,0.00958949079009,0.00307725462376,0.142858303232
